Status	seurat_clusters	cells	fraction
Mock_DoL4	0	706	0.07902395343631072
Mock_DoL4	1	365	0.04085516006268189
Mock_DoL4	2	457	0.05115289903738527
Mock_DoL4	3	396	0.04432505036937542
Mock_DoL4	4	496	0.05551824490709648
Mock_DoL4	5	361	0.04040743228117305
Mock_DoL4	6	346	0.038728453100514884
Mock_DoL4	7	320	0.03581822252070741
Mock_DoL4	8	385	0.0430937989702261
Mock_DoL4	9	90	0.010073875083948958
Mock_DoL4	10	298	0.03335571972240878
Mock_DoL4	11	367	0.04107902395343631
Mock_DoL4	12	277	0.031005148869487353
Mock_DoL4	13	149	0.01667785986120439
Mock_DoL4	14	250	0.027982986344302664
Mock_DoL4	15	239	0.026751734945153347
Mock_DoL4	16	343	0.038392657264383255
Mock_DoL4	17	95	0.010633534810835012
Mock_DoL4	18	238	0.026639802999776137
Mock_DoL4	19	144	0.016118200134318333
Mock_DoL4	20	292	0.03268412805014551
Mock_DoL4	21	129	0.014439220953660174
Mock_DoL4	22	156	0.017461383478844864
Mock_DoL4	23	219	0.024513096037609133
Mock_DoL4	24	89	0.009961943138571749
Mock_DoL4	25	73	0.008171032012536378
Mock_DoL4	26	162	0.018132975151108125
Mock_DoL4	27	174	0.019476158495634655
Mock_DoL4	28	80	0.008954555630176853
Mock_DoL4	29	55	0.0061562569957465865
Mock_DoL4	30	110	0.012312513991493173
Mock_DoL4	31	122	0.0136556973360197
Mock_DoL4	32	89	0.009961943138571749
Mock_DoL4	33	103	0.011528990373852698
Mock_DoL4	34	64	0.007163644504141482
Mock_DoL4	35	75	0.0083948959032908
Mock_DoL4	36	34	0.0038056861428251623
Mock_DoL4	37	57	0.0063801208865010076
Mock_DoL4	38	128	0.014327289008282965
Mock_DoL4	39	45	0.005036937541974479
Mock_DoL4	40	9	0.0010073875083948958
Mock_DoL4	41	8	8.954555630176853e-4
Mock_DoL4	42	68	0.0076113722856503245
Mock_DoL4	43	69	0.007723304231027535
Mock_DoL4	44	36	0.004029550033579583
Mock_DoL4	45	77	0.00861875979404522
Mock_DoL4	46	21	0.0023505708529214238
Mock_DoL4	47	55	0.0061562569957465865
Mock_DoL4	48	13	0.0014551152899037385
Mock_DoL6	0	533	0.09000337723741979
Mock_DoL6	1	497	0.08392434988179669
Mock_DoL6	2	372	0.06281661600810537
Mock_DoL6	3	358	0.060452549814251945
Mock_DoL6	4	70	0.01182033096926714
Mock_DoL6	5	192	0.03242147922998987
Mock_DoL6	6	190	0.032083755488010804
Mock_DoL6	7	58	0.009793988517392773
Mock_DoL6	8	122	0.020601148260722728
Mock_DoL6	9	127	0.02144545761567038
Mock_DoL6	10	231	0.03900709219858156
Mock_DoL6	11	145	0.02448497129348193
Mock_DoL6	12	201	0.033941236068895646
Mock_DoL6	13	76	0.012833502195204323
Mock_DoL6	14	187	0.031577169875042214
Mock_DoL6	15	177	0.02988855116514691
Mock_DoL6	16	88	0.01485984464707869
Mock_DoL6	17	154	0.026004728132387706
Mock_DoL6	18	175	0.02955082742316785
Mock_DoL6	19	169	0.028537656197230664
Mock_DoL6	20	107	0.01806822019587977
Mock_DoL6	21	155	0.026173590003377236
Mock_DoL6	22	179	0.030226274907125972
Mock_DoL6	23	124	0.02093887200270179
Mock_DoL6	24	115	0.019419115163796016
Mock_DoL6	25	155	0.026173590003377236
Mock_DoL6	26	74	0.012495778453225262
Mock_DoL6	27	22	0.0037149611617696724
Mock_DoL6	28	133	0.022458628841607566
Mock_DoL6	29	102	0.017223910840932118
Mock_DoL6	30	103	0.017392772711921647
Mock_DoL6	31	90	0.015197568389057751
Mock_DoL6	32	57	0.009625126646403243
Mock_DoL6	33	85	0.014353259034110099
Mock_DoL6	34	59	0.009962850388382303
Mock_DoL6	35	43	0.007261060452549814
Mock_DoL6	36	2	3.3772374197906115e-4
Mock_DoL6	37	41	0.006923336710570753
Mock_DoL6	38	17	0.0028706518068220195
Mock_DoL6	39	30	0.005065856129685917
Mock_DoL6	40	18	0.00303951367781155
Mock_DoL6	41	1	1.6886187098953058e-4
Mock_DoL6	42	14	0.002364066193853428
Mock_DoL6	43	13	0.002195204322863897
Mock_DoL6	44	16	0.002701789935832489
Mock_DoL6	45	6	0.0010131712259371835
Mock_DoL6	46	26	0.004390408645727794
Mock_DoL6	47	12	0.002026342451874367
Mock_DoL6	48	1	1.6886187098953058e-4
MRV_DoL4	0	314	0.05290648694187026
MRV_DoL4	1	286	0.04818871103622578
MRV_DoL4	2	327	0.05509688289806234
MRV_DoL4	3	260	0.04380791912384162
MRV_DoL4	4	385	0.06486941870261162
MRV_DoL4	5	134	0.02257792754844145
MRV_DoL4	6	172	0.02898062342038753
MRV_DoL4	7	288	0.0485256950294861
MRV_DoL4	8	181	0.030497051390058972
MRV_DoL4	9	151	0.02544229149115417
MRV_DoL4	10	154	0.025947767481044652
MRV_DoL4	11	128	0.02156697556866049
MRV_DoL4	12	128	0.02156697556866049
MRV_DoL4	13	68	0.011457455770850885
MRV_DoL4	14	138	0.02325189553496209
MRV_DoL4	15	142	0.02392586352148273
MRV_DoL4	16	123	0.020724515585509688
MRV_DoL4	17	168	0.02830665543386689
MRV_DoL4	18	102	0.017186183656276326
MRV_DoL4	19	206	0.03470935130581297
MRV_DoL4	20	128	0.02156697556866049
MRV_DoL4	21	210	0.03538331929233361
MRV_DoL4	22	88	0.014827295703454086
MRV_DoL4	23	111	0.018702611625947767
MRV_DoL4	24	208	0.03504633529907329
MRV_DoL4	25	169	0.02847514743049705
MRV_DoL4	26	142	0.02392586352148273
MRV_DoL4	27	41	0.0069081718618365625
MRV_DoL4	28	121	0.020387531592249368
MRV_DoL4	29	126	0.02122999157540017
MRV_DoL4	30	58	0.009772535804549284
MRV_DoL4	31	76	0.012805391743892166
MRV_DoL4	32	35	0.005897219882055603
MRV_DoL4	33	70	0.011794439764111205
MRV_DoL4	34	93	0.015669755686604885
MRV_DoL4	35	89	0.014995787700084246
MRV_DoL4	36	3	5.054759898904802e-4
MRV_DoL4	37	54	0.009098567818028643
MRV_DoL4	38	18	0.0030328559393428814
MRV_DoL4	39	20	0.003369839932603201
MRV_DoL4	40	35	0.005897219882055603
MRV_DoL4	41	5	8.424599831508003e-4
MRV_DoL4	42	25	0.004212299915754001
MRV_DoL4	43	34	0.0057287278854254425
MRV_DoL4	44	17	0.0028643639427127212
MRV_DoL4	45	16	0.002695871946082561
MRV_DoL4	46	61	0.010278011794439764
MRV_DoL4	47	25	0.004212299915754001
MRV_DoL4	48	2	3.3698399326032014e-4
MRV_DoL6	0	107	0.0296234772978959
MRV_DoL6	1	146	0.040420819490586936
MRV_DoL6	2	104	0.028792912513842746
MRV_DoL6	3	64	0.017718715393133997
MRV_DoL6	4	46	0.01273532668881506
MRV_DoL6	5	199	0.05509413067552602
MRV_DoL6	6	79	0.021871539313399777
MRV_DoL6	7	119	0.03294573643410853
MRV_DoL6	8	87	0.02408637873754153
MRV_DoL6	9	368	0.10188261351052048
MRV_DoL6	10	50	0.013842746400885935
MRV_DoL6	11	80	0.0221483942414175
MRV_DoL6	12	95	0.02630121816168328
MRV_DoL6	13	367	0.10160575858250277
MRV_DoL6	14	49	0.013565891472868217
MRV_DoL6	15	54	0.014950166112956811
MRV_DoL6	16	51	0.014119601328903655
MRV_DoL6	17	183	0.050664451827242524
MRV_DoL6	18	73	0.020210409745293468
MRV_DoL6	19	33	0.009136212624584718
MRV_DoL6	20	16	0.004429678848283499
MRV_DoL6	21	46	0.01273532668881506
MRV_DoL6	22	102	0.02823920265780731
MRV_DoL6	23	62	0.01716500553709856
MRV_DoL6	24	49	0.013565891472868217
MRV_DoL6	25	33	0.009136212624584718
MRV_DoL6	26	47	0.01301218161683278
MRV_DoL6	27	150	0.04152823920265781
MRV_DoL6	28	33	0.009136212624584718
MRV_DoL6	29	23	0.00636766334440753
MRV_DoL6	30	32	0.008859357696566999
MRV_DoL6	31	13	0.0035991140642303433
MRV_DoL6	32	103	0.02851605758582503
MRV_DoL6	33	7	0.001937984496124031
MRV_DoL6	34	5	0.0013842746400885937
MRV_DoL6	35	12	0.0033222591362126247
MRV_DoL6	36	153	0.04235880398671096
MRV_DoL6	37	26	0.007198228128460687
MRV_DoL6	38	1	2.768549280177187e-4
MRV_DoL6	39	43	0.011904761904761904
MRV_DoL6	40	75	0.020764119601328904
MRV_DoL6	41	119	0.03294573643410853
MRV_DoL6	42	21	0.005813953488372093
MRV_DoL6	43	5	0.0013842746400885937
MRV_DoL6	44	48	0.013289036544850499
MRV_DoL6	45	14	0.003875968992248062
MRV_DoL6	46	5	0.0013842746400885937
MRV_DoL6	47	9	0.0024916943521594683
MRV_DoL6	48	6	0.0016611295681063123
